harness-bc12-missing-sut-action	-	harness-mutant	missing-action-receipt	BC12_SUT_ACTION_MISSING
harness-bc12-normalized-synthesis-without-raw-coverage	-	observer-mutant	normalized-without-raw-coverage	BC12_COVERAGE_INVALID
harness-bc12-raw-post-seal-tamper	-	evidence-mutant	raw-post-seal-tamper	BC12_RAW_SEAL_INVALID
neg-bc12-archive-bypass	neg-bc12-archive-bypass	counterfactual	detect-archive-state-bypass	BC12_ARCHIVE_BYPASS_NOT_DETECTED
neg-bc12-canonical-unchanged	neg-bc12-canonical-unchanged	sut-mutant	detect-placement-inventory-change	BC12_CANONICAL_CHANGED
neg-bc12-decision-provenance	neg-bc12-decision-provenance	evidence-mutant	detect-decision-provenance-loss	BC12_DECISION_PROVENANCE_LOSS
neg-bc12-derived-protection	neg-bc12-derived-protection	sut-mutant	detect-protection-derivation-loss	BC12_DERIVED_PROTECTION_LOSS
neg-bc12-eligibility-delete	neg-bc12-eligibility-delete	sut-mutant	detect-eligibility-as-delete	BC12_ELIGIBILITY_DELETE_DETECTED
neg-bc12-forget-bypass	neg-bc12-forget-bypass	counterfactual	detect-forget-bypass	BC12_FORGET_BYPASS_NOT_DETECTED
neg-bc12-forget-consumed	neg-bc12-forget-consumed	sut-mutant	detect-unconsumed-forget	BC12_FORGET_NOT_CONSUMED
neg-bc12-noop-evaluator	neg-bc12-noop-evaluator	sut-mutant	detect-noop-placement-evaluator	BC12_NOOP_EVALUATOR_DETECTED
neg-bc12-placement-decision	neg-bc12-placement-decision	sut-mutant	detect-placement-decision-loss	BC12_PLACEMENT_DECISION_MISMATCH
neg-bc12-protection-bypass	neg-bc12-protection-bypass	counterfactual	detect-protection-bypass	BC12_PROTECTION_BYPASS_NOT_DETECTED
neg-bc12-window-bypass	neg-bc12-window-bypass	counterfactual	detect-policy-window-bypass	BC12_WINDOW_BYPASS_NOT_DETECTED
