set-all	bc02-complete-available--case-bc02-complete	-
set-all	bc02-healthy-retry--case-bc02-incomplete-corrected	-
set-all	bc02-incomplete-as-complete--case-bc02-incomplete-missing	-
set-all	bc02-incomplete-as-complete--case-bc02-incomplete-substitution	-
set-all	bc02-partial-residue--case-bc02-after-root-header	hook-bc02-after-root-header
set-all	bc02-partial-residue--case-bc02-after-root-member	hook-bc02-after-root-member
set-all	bc02-poisoned-retry--case-bc02-after-root-header	hook-bc02-after-root-header
set-all	bc02-poisoned-retry--case-bc02-after-root-member	hook-bc02-after-root-member
set-all	bc02-rollback-complete--case-bc02-after-root-header	hook-bc02-after-root-header
set-all	bc02-rollback-complete--case-bc02-after-root-member	hook-bc02-after-root-member
set-complete	bc02-complete-available--case-bc02-complete	-
set-fault	bc02-partial-residue--case-bc02-after-root-header	hook-bc02-after-root-header
set-fault	bc02-partial-residue--case-bc02-after-root-member	hook-bc02-after-root-member
set-fault	bc02-poisoned-retry--case-bc02-after-root-header	hook-bc02-after-root-header
set-fault	bc02-poisoned-retry--case-bc02-after-root-member	hook-bc02-after-root-member
set-fault	bc02-rollback-complete--case-bc02-after-root-header	hook-bc02-after-root-header
set-fault	bc02-rollback-complete--case-bc02-after-root-member	hook-bc02-after-root-member
set-fault-header	bc02-partial-residue--case-bc02-after-root-header	hook-bc02-after-root-header
set-fault-header	bc02-poisoned-retry--case-bc02-after-root-header	hook-bc02-after-root-header
set-fault-header	bc02-rollback-complete--case-bc02-after-root-header	hook-bc02-after-root-header
set-fault-member	bc02-partial-residue--case-bc02-after-root-member	hook-bc02-after-root-member
set-fault-member	bc02-poisoned-retry--case-bc02-after-root-member	hook-bc02-after-root-member
set-fault-member	bc02-rollback-complete--case-bc02-after-root-member	hook-bc02-after-root-member
set-healthy	bc02-healthy-retry--case-bc02-incomplete-corrected	-
set-incomplete	bc02-healthy-retry--case-bc02-incomplete-corrected	-
set-incomplete	bc02-incomplete-as-complete--case-bc02-incomplete-missing	-
set-incomplete	bc02-incomplete-as-complete--case-bc02-incomplete-substitution	-
set-partial	bc02-partial-residue--case-bc02-after-root-header	hook-bc02-after-root-header
set-partial	bc02-partial-residue--case-bc02-after-root-member	hook-bc02-after-root-member
set-poisoned	bc02-poisoned-retry--case-bc02-after-root-header	hook-bc02-after-root-header
set-poisoned	bc02-poisoned-retry--case-bc02-after-root-member	hook-bc02-after-root-member
set-retry	bc02-healthy-retry--case-bc02-incomplete-corrected	-
set-retry	bc02-poisoned-retry--case-bc02-after-root-header	hook-bc02-after-root-header
set-retry	bc02-poisoned-retry--case-bc02-after-root-member	hook-bc02-after-root-member
set-rollback	bc02-rollback-complete--case-bc02-after-root-header	hook-bc02-after-root-header
set-rollback	bc02-rollback-complete--case-bc02-after-root-member	hook-bc02-after-root-member
set-substitution	bc02-incomplete-as-complete--case-bc02-incomplete-substitution	-
