case-bc08-after-observation	authoritative-state	scope-1	revision	rev-2	0001
case-bc08-after-observation	current-view	scope-1	binding	view-1,rev-2	0001
case-bc08-after-observation	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-bc08-after-observation	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-bc08-after-observation	evaluation-result	result-1	digest	digest-result-1	0001
case-bc08-after-observation	evaluation-result	result-1	payload	public-a	0001
case-bc08-after-observation	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-bc08-after-observation	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-bc08-after-transition	authoritative-state	scope-1	revision	rev-2	0001
case-bc08-after-transition	current-view	scope-1	binding	view-1,rev-2	0001
case-bc08-after-transition	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-bc08-after-transition	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-bc08-after-transition	evaluation-result	result-1	digest	digest-result-1	0001
case-bc08-after-transition	evaluation-result	result-1	payload	public-a	0001
case-bc08-after-transition	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-bc08-after-transition	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-bc08-after-view-header	authoritative-state	scope-1	revision	rev-2	0001
case-bc08-after-view-header	current-view	scope-1	binding	view-1,rev-2	0001
case-bc08-after-view-header	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-bc08-after-view-header	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-bc08-after-view-header	evaluation-result	result-1	digest	digest-result-1	0001
case-bc08-after-view-header	evaluation-result	result-1	payload	public-a	0001
case-bc08-after-view-header	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-bc08-after-view-header	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-bc08-after-view-row	authoritative-state	scope-1	revision	rev-2	0001
case-bc08-after-view-row	current-view	scope-1	binding	view-1,rev-2	0001
case-bc08-after-view-row	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-bc08-after-view-row	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-bc08-after-view-row	evaluation-result	result-1	digest	digest-result-1	0001
case-bc08-after-view-row	evaluation-result	result-1	payload	public-a	0001
case-bc08-after-view-row	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-bc08-after-view-row	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
case-bc08-before-current-update	authoritative-state	scope-1	revision	rev-2	0001
case-bc08-before-current-update	current-view	scope-1	binding	view-1,rev-2	0001
case-bc08-before-current-update	decision-observation	observation-1	binding	transition-1,result-1,root-1,view-1	0001
case-bc08-before-current-update	effect-request	effect-1	binding	result-1,scope-1,rev-1	0001
case-bc08-before-current-update	evaluation-result	result-1	digest	digest-result-1	0001
case-bc08-before-current-update	evaluation-result	result-1	payload	public-a	0001
case-bc08-before-current-update	state-transition	transition-1	binding	effect-1,rev-1,rev-2	0001
case-bc08-before-current-update	view-header	view-1	binding	effect-1,result-1,root-1,rev-2,complete,2	0001
