action-receipts.tsv	19	case-contract	receipt	direct-sut-root-action
command-receipts.tsv	12	step-contract	receipt	runner-command-custody
correction-receipts.tsv	11	case-contract	receipt	direct-sut-correction
correction-write-guard-receipts.tsv	13	healthy-retry-only	profile-observation	sqlite-write-guard
coverage.tsv	6	normalized-contract	coverage	runner-mechanical-binding
data-version-receipts.tsv	10	step-contract	profile-observation	held-sqlite-connection
evidence-binding-receipts.tsv	17	fault-case-contract	receipt	runner-mechanical-binding
exclusions.tsv	6	zero	exclusion	none
fault-activation-receipts.tsv	10	fault-case-contract	receipt	runner-pre-action-binding
fault-configuration-receipts.tsv	14	fault-case-contract	receipt	profile-static-trigger-configuration
fault-markers.tsv	11	fault-case-contract	fault-marker	three-receipt-materialization
fault-trigger-receipts.tsv	21	fault-case-contract	receipt	direct-sut-trigger
gate-results.tsv	9	one-per-mandatory-gate	gate-result	sealed-gate-evidence
inventory-correction-after.tsv	6	case-contract	inventory	sqlite-semantic-extraction
inventory-retry-after.tsv	6	case-contract	inventory	sqlite-semantic-extraction
inventory-rollback-after.tsv	6	case-contract	inventory	sqlite-semantic-extraction
inventory-setup-before.tsv	6	case-contract	inventory	sqlite-semantic-extraction
inventory-success-after.tsv	6	case-contract	inventory	sqlite-semantic-extraction
normalized-observations.tsv	6	normalized-contract	normalized	mechanical-from-sealed-raw
observer-custody-receipts.tsv	13	fault-case-contract	profile-observation	persistent-sqlite-observer
oracle-result.tsv	8	one-per-oracle	oracle-result	sealed-input-comparison
pragma.tsv	6	step-contract	profile-setting	direct-command-stderr
raw-observations.tsv	6	raw-contract	raw	direct-receipts-and-sqlite-extraction
raw-seal.tsv	9	one	seal	runner-before-normalization
resolution-receipts.tsv	10	step-contract	resolution	sqlite-semantic-extraction
