bc02-complete-available--case-bc02-complete	raw-ancestry-01	record	bc02-complete-available--case-bc02-complete	obs-ancestry	all
bc02-complete-available--case-bc02-complete	raw-ancestry-persistence-01	record	bc02-complete-available--case-bc02-complete	obs-ancestry-persistence	all
bc02-complete-available--case-bc02-complete	raw-availability-01	record	bc02-complete-available--case-bc02-complete	obs-availability	all
bc02-complete-available--case-bc02-complete	raw-formation-01	record	bc02-complete-available--case-bc02-complete	obs-formation	all
bc02-complete-available--case-bc02-complete	raw-header-persistence-01	record	bc02-complete-available--case-bc02-complete	obs-header-persistence	all
bc02-complete-available--case-bc02-complete	raw-member-persistence-01	record	bc02-complete-available--case-bc02-complete	obs-member-persistence	all
bc02-complete-available--case-bc02-complete	raw-membership-01	record	bc02-complete-available--case-bc02-complete	obs-membership	all
bc02-complete-available--case-bc02-complete	raw-reopened-resolution-01	record	bc02-complete-available--case-bc02-complete	obs-reopened-resolution	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-attempt-identity-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-attempt-identity	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-attempt-identity-02	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-attempt-identity	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-correction	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-02	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-correction	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-03	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-correction	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-isolation-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-correction-isolation	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-isolation-02	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-correction-isolation	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-correction-isolation-03	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-correction-isolation	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-error-identity-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-error-identity	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-failure-reason-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-failure-reason	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-initial-availability-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-initial-availability	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-initial-formation-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-initial-formation	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-initial-membership-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-initial-membership	all
bc02-healthy-retry--case-bc02-incomplete-corrected	raw-initial-rollback-01	record	bc02-healthy-retry--case-bc02-incomplete-corrected	obs-initial-rollback	all
