BC09_DIAGNOSTIC_EPHEMERAL	positive	case-duplicate	counterfactual	diagnostic-ephemeral	sut-apply-effect	duplicate	unaccepted-redelivery	2	neg-bc09-diagnostic-ephemeral	PASS
BC09_DIAGNOSTIC_EPHEMERAL	positive	case-fault	fault	diagnostic-ephemeral	sut-apply-effect	failed	injected-rollback	1	neg-bc09-diagnostic-ephemeral	PASS
BC09_DIAGNOSTIC_EPHEMERAL	positive	case-incomplete	counterfactual	diagnostic-ephemeral	sut-apply-effect	rejected	incomplete-result	1	neg-bc09-diagnostic-ephemeral	PASS
BC09_DIAGNOSTIC_EPHEMERAL	positive	case-rejected	counterfactual	diagnostic-ephemeral	sut-apply-effect	rejected	result-rejected	1	neg-bc09-diagnostic-ephemeral	PASS
BC09_DIAGNOSTIC_EPHEMERAL	positive	case-stale	counterfactual	diagnostic-ephemeral	sut-apply-effect	rejected	stale-expected	1	neg-bc09-diagnostic-ephemeral	PASS
BC09_DUPLICATE_PERSISTS	control	case-duplicate	counterfactual	no-persistent-artifact	sut-apply-effect	duplicate	unaccepted-redelivery	2	neg-bc09-duplicate-persists	PASS
BC09_FAILPOINT_PERSISTS	control	case-duplicate	fault	no-persistent-artifact	sut-apply-effect	failed	injected-rejection-duplicate	2	neg-bc09-failpoint-persists	PASS
BC09_FAILPOINT_PERSISTS	control	case-fault	fault	no-persistent-artifact	sut-apply-effect	failed	injected-accepted-write	1	neg-bc09-failpoint-persists	PASS
BC09_FAILPOINT_PERSISTS	control	case-incomplete	fault	no-persistent-artifact	sut-apply-effect	failed	injected-rejection-incomplete	1	neg-bc09-failpoint-persists	PASS
BC09_FAILPOINT_PERSISTS	control	case-rejected	fault	no-persistent-artifact	sut-apply-effect	failed	injected-rejection-rejected	1	neg-bc09-failpoint-persists	PASS
BC09_FAILPOINT_PERSISTS	control	case-stale	fault	no-persistent-artifact	sut-apply-effect	failed	injected-rejection-stale	1	neg-bc09-failpoint-persists	PASS
BC09_FAILURE_NO_PERSISTENT_ARTIFACT	positive	case-duplicate	counterfactual	no-persistent-artifact	sut-apply-effect	duplicate	unaccepted-redelivery	2	neg-bc09-failure-no-persistent-artifact	PASS
BC09_FAILURE_NO_PERSISTENT_ARTIFACT	positive	case-fault	fault	no-persistent-artifact	sut-apply-effect	failed	injected-rollback	1	neg-bc09-failure-no-persistent-artifact	PASS
BC09_FAILURE_NO_PERSISTENT_ARTIFACT	positive	case-incomplete	counterfactual	no-persistent-artifact	sut-apply-effect	rejected	incomplete-result	1	neg-bc09-failure-no-persistent-artifact	PASS
BC09_FAILURE_NO_PERSISTENT_ARTIFACT	positive	case-rejected	counterfactual	no-persistent-artifact	sut-apply-effect	rejected	result-rejected	1	neg-bc09-failure-no-persistent-artifact	PASS
BC09_FAILURE_NO_PERSISTENT_ARTIFACT	positive	case-stale	counterfactual	no-persistent-artifact	sut-apply-effect	rejected	stale-expected	1	neg-bc09-failure-no-persistent-artifact	PASS
BC09_INCOMPLETE_PERSISTS	control	case-incomplete	counterfactual	no-persistent-artifact	sut-apply-effect	rejected	incomplete-result	1	neg-bc09-incomplete-persists	PASS
BC09_REJECTED_PERSISTS	control	case-rejected	counterfactual	no-persistent-artifact	sut-apply-effect	rejected	result-rejected	1	neg-bc09-rejected-persists	PASS
BC09_STALE_PERSISTS	control	case-stale	counterfactual	no-persistent-artifact	sut-apply-effect	rejected	stale-expected	1	neg-bc09-stale-persists	PASS
