harness-sqlite-partial-copied-run	evidence-mutant	copied-run	SQLITE_PARTIAL_COPIED_RUN_DETECTED
harness-sqlite-partial-bc01-drift	evidence-mutant	bc01-semantic-drift	SQLITE_PARTIAL_BC01_DRIFT_DETECTED
harness-sqlite-partial-bc02-drift	evidence-mutant	bc02-semantic-drift	SQLITE_PARTIAL_BC02_DRIFT_DETECTED
harness-sqlite-partial-bc03-drift	evidence-mutant	bc03-semantic-drift	SQLITE_PARTIAL_BC03_DRIFT_DETECTED
harness-sqlite-partial-bc04-drift	evidence-mutant	bc04-semantic-drift	SQLITE_PARTIAL_BC04_DRIFT_DETECTED
harness-sqlite-partial-bc05-drift	evidence-mutant	bc05-semantic-drift	SQLITE_PARTIAL_BC05_DRIFT_DETECTED
harness-sqlite-partial-bc06-drift	evidence-mutant	bc06-semantic-drift	SQLITE_PARTIAL_BC06_DRIFT_DETECTED
harness-sqlite-partial-bc07-drift	evidence-mutant	bc07-semantic-drift	SQLITE_PARTIAL_BC07_DRIFT_DETECTED
harness-sqlite-partial-bc08-drift	evidence-mutant	bc08-semantic-drift	SQLITE_PARTIAL_BC08_DRIFT_DETECTED
harness-sqlite-partial-bc09-drift	evidence-mutant	bc09-semantic-drift	SQLITE_PARTIAL_BC09_DRIFT_DETECTED
harness-sqlite-partial-bc10-drift	evidence-mutant	bc10-semantic-drift	SQLITE_PARTIAL_BC10_DRIFT_DETECTED
harness-sqlite-partial-bc11-drift	evidence-mutant	bc11-semantic-drift	SQLITE_PARTIAL_BC11_DRIFT_DETECTED
harness-sqlite-partial-bc12-drift	evidence-mutant	bc12-semantic-drift	SQLITE_PARTIAL_BC12_DRIFT_DETECTED
harness-sqlite-partial-sentinel-leak	evidence-mutant	cross-namespace-sentinel	SQLITE_PARTIAL_SENTINEL_LEAK_DETECTED
