oracle-bc01-association-idempotent	equality	norm-bc01-observation
oracle-bc01-distinct-occurrence	inequality	norm-bc01-observation
oracle-bc01-occurrence-collapse	integrity	norm-bc01-observation
oracle-bc01-payload-collision	empty	norm-bc01-observation
oracle-bc01-retry-duplication	integrity	norm-bc01-observation
oracle-bc02-complete-available	exact	norm-bc02-observation
oracle-bc02-healthy-retry	exact	norm-bc02-observation
oracle-bc02-incomplete-as-complete	exact	norm-bc02-observation
oracle-bc02-partial-residue	exact	norm-bc02-observation
oracle-bc02-poisoned-retry	exact	norm-bc02-observation
oracle-bc02-rollback-complete	equality	inventory-repository
oracle-bc03-accepted-head	exact	norm-bc03-observation
oracle-bc03-publication-separate	inequality	norm-bc03-observation
oracle-bc03-rejected-is-head	empty	norm-bc03-observation
oracle-bc03-stored-is-head	empty	norm-bc03-observation
oracle-bc03-stored-root-separate	inequality	norm-bc03-observation
oracle-bc03-wrong-authority-head	empty	norm-bc03-observation
oracle-bc04-ambient-fallback	inequality	norm-bc04-observation
oracle-bc04-exact-published-collapse	inequality	norm-bc04-observation
oracle-bc04-exact-read	exact	norm-bc04-observation
oracle-bc04-published-read	exact	norm-bc04-observation
oracle-bc04-unaccepted-available	empty	norm-bc04-observation
oracle-bc05-ambient-advance	inequality	norm-bc05-observation
oracle-bc05-binding-omission	integrity	norm-bc05-observation
oracle-bc05-complete-closure	closure	norm-bc05-observation
oracle-bc05-definition-omission	integrity	norm-bc05-observation
oracle-bc05-missing-as-empty	integrity	norm-bc05-observation
oracle-bc05-pinned-knowledge-cut	equality	norm-bc05-observation
oracle-bc05-root-omission	integrity	norm-bc05-observation
oracle-bc05-semantics-omission	integrity	norm-bc05-observation
oracle-bc05-transitive-omission	integrity	norm-bc05-observation
oracle-bc06-observation-write	no-write	norm-bc06-observation
oracle-bc06-pure-zero-axes	exact	norm-bc06-observation
oracle-bc06-repository-unchanged	equality	inventory-repository
oracle-bc06-result-write	no-write	norm-bc06-observation
oracle-bc06-state-write	no-write	norm-bc06-observation
oracle-bc07-effect-101	exact	norm-bc07-observation
oracle-bc07-observation-without-transition	integrity	norm-bc07-observation
oracle-bc07-ordinary-000	exact	norm-bc07-observation
oracle-bc07-record-implies-effect	integrity	norm-bc07-observation
oracle-bc07-record-only-010	exact	norm-bc07-observation
oracle-bc07-result-rewrite	equality	norm-bc07-observation
oracle-bc08-complete-effect	exact	norm-bc08-observation
oracle-bc08-mid-boundary-failure	fault	norm-bc08-observation
oracle-bc08-missing-current	integrity	norm-bc08-observation
oracle-bc08-missing-observation	integrity	norm-bc08-observation
oracle-bc08-missing-result	integrity	norm-bc08-observation
oracle-bc08-missing-transition	integrity	norm-bc08-observation
oracle-bc08-missing-view	integrity	norm-bc08-observation
oracle-bc09-diagnostic-ephemeral	exact	norm-bc09-observation
oracle-bc09-duplicate-persists	no-write	inventory-repository
oracle-bc09-failpoint-persists	fault	norm-bc09-observation
oracle-bc09-failure-no-persistent-artifact	no-write	inventory-repository
oracle-bc09-incomplete-persists	no-write	inventory-repository
oracle-bc09-rejected-persists	no-write	inventory-repository
oracle-bc09-stale-persists	no-write	inventory-repository
oracle-bc10-explanation-closed	closure	norm-bc10-observation
oracle-bc10-explanation-leak	empty	norm-bc10-observation
oracle-bc10-replay-closed	closure	norm-bc10-observation
oracle-bc10-replay-leak	empty	norm-bc10-observation
oracle-bc10-result-closed	closure	norm-bc10-observation
oracle-bc10-result-leak	empty	norm-bc10-observation
oracle-bc10-view-closed	closure	norm-bc10-observation
oracle-bc10-view-leak	empty	norm-bc10-observation
oracle-bc11-explanation-closure	closure	norm-bc11-observation
oracle-bc11-finding-cross-link	integrity	norm-bc11-observation
oracle-bc11-finding-dangling	integrity	norm-bc11-observation
oracle-bc11-latest-substitution	inequality	norm-bc11-observation
oracle-bc11-missing-as-empty	integrity	norm-bc11-observation
oracle-bc11-replay-result	equality	norm-bc11-observation
oracle-bc11-silent-cross-link	integrity	norm-bc11-observation
oracle-bc11-silent-dangling	integrity	norm-bc11-observation
oracle-bc12-archive-bypass	integrity	norm-bc12-observation
oracle-bc12-canonical-unchanged	equality	inventory-repository
oracle-bc12-decision-provenance	nonempty	norm-bc12-observation
oracle-bc12-derived-protection	exact	norm-bc12-observation
oracle-bc12-eligibility-delete	no-write	inventory-repository
oracle-bc12-forget-bypass	integrity	norm-bc12-observation
oracle-bc12-forget-consumed	exact	norm-bc12-observation
oracle-bc12-noop-evaluator	integrity	norm-bc12-observation
oracle-bc12-placement-decision	exact	norm-bc12-observation
oracle-bc12-protection-bypass	integrity	norm-bc12-observation
oracle-bc12-window-bypass	integrity	norm-bc12-observation
