action-receipts.tsv	14	case-delivery-contract	bag	direct-sut-stdout
command-receipts.tsv	12	step-contract	bag	runner-custody
coverage.tsv	6	case-observation-contract	set	runner-contract
exclusions.tsv	6	0	set	present-empty
fault-activation-receipts.tsv	10	5	bag	runner-pre-action-binding
fault-configuration-receipts.tsv	14	5	bag	profile-static-trigger-configuration
fault-inventory-healthy.tsv	6	45	set	adapter-observer
fault-inventory-reopened.tsv	6	45	set	adapter-observer
fault-inventory-rollback.tsv	6	25	set	adapter-observer
fault-inventory-setup.tsv	6	25	set	adapter-observer
fault-markers.tsv	11	5	bag	runner-materialization
fault-trigger-receipts.tsv	21	5	bag	direct-sut-trigger
inventory-after.tsv	6	case-inventory-contract	set	adapter-observer
inventory-before.tsv	6	case-inventory-contract	set	adapter-observer
inventory-reopened.tsv	6	case-inventory-contract	set	adapter-observer
normalized-observations.tsv	6	case-observation-contract	set	runner-normalizer
oracle-result.tsv	6	1	set	runner-oracle
pragma.tsv	6	step-contract	bag	adapter-stderr
raw-observations.tsv	6	case-observation-contract	bag	adapter-and-sut
raw-seal.tsv	9	1	set	runner-custody
