bc03-accepted-head--case-bc03-accepted	repository	@relation	presence	present	0001
bc03-accepted-head--case-bc03-accepted	stored-root	root-accepted	availability	complete	0001
bc03-accepted-head--case-bc03-accepted	publication	pub-accepted	authority-domain	authority-main	0001
bc03-accepted-head--case-bc03-accepted	publication	pub-accepted	proposed-root	root-accepted	0002
bc03-accepted-head--case-bc03-accepted	publication-decision	pub-accepted	state	accepted	0001
bc03-publication-separate--case-bc03-accepted	repository	@relation	presence	present	0001
bc03-publication-separate--case-bc03-accepted	stored-root	root-accepted	availability	complete	0001
bc03-publication-separate--case-bc03-accepted	publication	pub-accepted	authority-domain	authority-main	0001
bc03-publication-separate--case-bc03-accepted	publication	pub-accepted	proposed-root	root-accepted	0002
bc03-publication-separate--case-bc03-accepted	publication-decision	pub-accepted	state	accepted	0001
bc03-rejected-is-head--case-bc03-rejected	repository	@relation	presence	present	0001
bc03-rejected-is-head--case-bc03-rejected	stored-root	root-rejected	availability	complete	0001
bc03-rejected-is-head--case-bc03-rejected	publication	pub-rejected	authority-domain	authority-main	0001
bc03-rejected-is-head--case-bc03-rejected	publication	pub-rejected	proposed-root	root-rejected	0002
bc03-rejected-is-head--case-bc03-rejected	publication-decision	pub-rejected	state	rejected	0001
bc03-stored-is-head--case-bc03-stored	repository	@relation	presence	present	0001
bc03-stored-is-head--case-bc03-stored	stored-root	root-stored	availability	complete	0001
bc03-stored-root-separate--case-bc03-stored	repository	@relation	presence	present	0001
bc03-stored-root-separate--case-bc03-stored	stored-root	root-stored	availability	complete	0001
bc03-wrong-authority-head--case-bc03-wrong-authority	repository	@relation	presence	present	0001
bc03-wrong-authority-head--case-bc03-wrong-authority	stored-root	root-other	availability	complete	0001
bc03-wrong-authority-head--case-bc03-wrong-authority	publication	pub-other	authority-domain	authority-other	0001
bc03-wrong-authority-head--case-bc03-wrong-authority	publication	pub-other	proposed-root	root-other	0002
bc03-wrong-authority-head--case-bc03-wrong-authority	publication-decision	pub-other	state	accepted	0001
