bc05-ambient-advance--case-bc05-ambient	obs-001	execution	request-ambient	result	complete
bc05-ambient-advance--case-bc05-ambient	obs-002	pinned-input	request-ambient	cut	cut-a
bc05-ambient-advance--case-bc05-ambient	obs-003	ambient-state	scope-main	cut-before	cut-a
bc05-ambient-advance--case-bc05-ambient	obs-004	ambient-state	scope-main	cut-after	cut-b
bc05-ambient-advance--case-bc05-ambient	obs-005	closure-selection	closure-a	selected-value	department:engineering
bc05-ambient-advance--case-bc05-ambient	obs-006	closure-substitution	closure-a	ambient-member-count	0
bc05-ambient-advance--case-bc05-ambient	obs-007	pinned-ambient-comparison	request-ambient	equality	false
bc05-ambient-advance--case-bc05-ambient	obs-008	persistent-effect	repository	closure-result-writes	0
bc05-binding-omission--case-bc05-binding	obs-001	execution	request-binding-missing	result	unavailable
bc05-binding-omission--case-bc05-binding	obs-002	input-resolution	root-a	root	present
bc05-binding-omission--case-bc05-binding	obs-003	input-resolution	definition-a	definition	present
bc05-binding-omission--case-bc05-binding	obs-004	input-resolution	semantics-a	semantics	present
bc05-binding-omission--case-bc05-binding	obs-005	input-resolution	bindings-missing	binding	missing
bc05-binding-omission--case-bc05-binding	obs-006	missing-input	bindings-missing	role	binding
bc05-binding-omission--case-bc05-binding	obs-007	ambient-fallback	bindings-missing	presence	absent
bc05-binding-omission--case-bc05-binding	obs-008	persistent-effect	repository	closure-result-writes	0
bc05-complete-closure--case-bc05-complete	obs-001	execution	request-complete	result	complete
bc05-complete-closure--case-bc05-complete	obs-002	input-resolution	root-a	root	present
bc05-complete-closure--case-bc05-complete	obs-003	input-resolution	definition-a	definition	present
bc05-complete-closure--case-bc05-complete	obs-004	input-resolution	semantics-a	semantics	present
bc05-complete-closure--case-bc05-complete	obs-005	input-resolution	bindings-main	binding	present-nonempty
bc05-complete-closure--case-bc05-complete	obs-006	dependency-resolution	dependency-direct	direct	present
bc05-complete-closure--case-bc05-complete	obs-007	dependency-resolution	dependency-leaf	transitive	present
bc05-complete-closure--case-bc05-complete	obs-008	closure-selection	closure-a	selected-value	department:engineering
bc05-complete-closure--case-bc05-complete	obs-009	persistent-effect	repository	closure-result-writes	0
bc05-definition-omission--case-bc05-definition	obs-001	execution	request-definition-missing	result	unavailable
bc05-definition-omission--case-bc05-definition	obs-002	input-resolution	root-a	root	present
bc05-definition-omission--case-bc05-definition	obs-003	input-resolution	definition-missing	definition	missing
bc05-definition-omission--case-bc05-definition	obs-004	input-resolution	semantics-a	semantics	present
bc05-definition-omission--case-bc05-definition	obs-005	input-resolution	bindings-main	binding	present-nonempty
bc05-definition-omission--case-bc05-definition	obs-006	missing-input	definition-missing	role	definition
bc05-definition-omission--case-bc05-definition	obs-007	ambient-fallback	definition-missing	presence	absent
bc05-definition-omission--case-bc05-definition	obs-008	persistent-effect	repository	closure-result-writes	0
bc05-missing-as-empty--case-bc05-empty	obs-001	execution	request-empty	result	complete-empty
bc05-missing-as-empty--case-bc05-empty	obs-002	input-resolution	bindings-empty	binding	present-empty
bc05-missing-as-empty--case-bc05-empty	obs-003	closure-selection	request-empty	selected-count	0
bc05-missing-as-empty--case-bc05-empty	obs-004	execution	request-missing	result	unavailable
bc05-missing-as-empty--case-bc05-empty	obs-005	input-resolution	bindings-missing	binding	missing
bc05-missing-as-empty--case-bc05-empty	obs-006	closure-selection	request-missing	selected-count	0
bc05-missing-as-empty--case-bc05-empty	obs-007	empty-missing-comparison	request-pair	equality	false
bc05-missing-as-empty--case-bc05-empty	obs-008	persistent-effect	repository	closure-result-writes	0
bc05-pinned-knowledge-cut--case-bc05-cut	obs-001	execution	request-cut-a	result	complete
bc05-pinned-knowledge-cut--case-bc05-cut	obs-002	pinned-input	request-cut-a	cut	cut-a
bc05-pinned-knowledge-cut--case-bc05-cut	obs-003	ambient-state	scope-main	cut-after	cut-b
bc05-pinned-knowledge-cut--case-bc05-cut	obs-004	closure-resolution	request-cut-a	closure	closure-a
bc05-pinned-knowledge-cut--case-bc05-cut	obs-005	closure-selection	closure-a	selected-value	department:engineering
bc05-pinned-knowledge-cut--case-bc05-cut	obs-006	ambient-candidate	closure-b	selected-value	department:security
bc05-pinned-knowledge-cut--case-bc05-cut	obs-007	closure-substitution	request-cut-a	ambient-member-count	0
bc05-pinned-knowledge-cut--case-bc05-cut	obs-008	pinned-result	request-cut-a	selected-value	department:engineering
bc05-pinned-knowledge-cut--case-bc05-cut	obs-009	persistent-effect	repository	closure-result-writes	0
bc05-root-omission--case-bc05-root	obs-001	execution	request-root-missing	result	unavailable
bc05-root-omission--case-bc05-root	obs-002	input-resolution	root-missing	root	missing
bc05-root-omission--case-bc05-root	obs-003	input-resolution	definition-a	definition	present
bc05-root-omission--case-bc05-root	obs-004	input-resolution	semantics-a	semantics	present
bc05-root-omission--case-bc05-root	obs-005	input-resolution	bindings-main	binding	present-nonempty
bc05-root-omission--case-bc05-root	obs-006	missing-input	root-missing	role	root
