harness-bc08-armed-unreached	fault-harness-mutant	armed-but-not-reached	BC08_FAULT_UNREACHED
harness-bc08-db-unhealthy	fault-harness-mutant	healthy-retry-unavailable	BC08_FAULT_RECOVERY_INVALID
harness-bc08-noop	harness-mutant	missing-action-receipt	BC08_SUT_ACTION_MISSING
harness-bc08-observer-synthesis	observer-mutant	normalized-without-raw	BC08_COVERAGE_INVALID
harness-bc08-raw-post-seal-tamper	evidence-mutant	raw-post-seal-tamper	BC08_RAW_SEAL_INVALID
harness-bc08-replayed-marker	fault-harness-mutant	replayed-fault-marker	BC08_FAULT_REPLAY_DETECTED
harness-bc08-rollback-drift	fault-harness-mutant	rollback-inventory-drift	BC08_ROLLBACK_INVENTORY_INVALID
harness-bc08-wrong-hook	fault-harness-mutant	wrong-hook	BC08_FAULT_HOOK_INVALID
harness-bc08-wrong-phase	fault-harness-mutant	wrong-phase	BC08_FAULT_PHASE_INVALID
neg-bc08-complete-effect	sut-mutant	detect-incomplete-effect-set	BC08_INCOMPLETE_EFFECT_DETECTED
neg-bc08-mid-boundary-failure	fault	detect-mid-boundary-partial-effect	BC08_PARTIAL_EFFECT_DETECTED
neg-bc08-missing-current	sut-mutant	detect-missing-current-pointer	BC08_MISSING_CURRENT_DETECTED
neg-bc08-missing-observation	sut-mutant	detect-missing-decision-observation	BC08_MISSING_OBSERVATION_DETECTED
neg-bc08-missing-result	sut-mutant	detect-missing-effect-result	BC08_MISSING_RESULT_DETECTED
neg-bc08-missing-transition	sut-mutant	detect-missing-state-transition	BC08_MISSING_TRANSITION_DETECTED
neg-bc08-missing-view	sut-mutant	detect-missing-complete-view	BC08_MISSING_VIEW_DETECTED
