preseal	file	root	assertions.tsv	rows=83	derived-assertions	runner
preseal	file	root	bc01-control-receipts.tsv	rows=8	bc01-mutants.tsv	runner
preseal	file	root	bc02-negative-receipts.tsv	rows=6	sqlite-partial-bc02-negative-execution.tsv	runner
preseal	file	root	bc03-control-receipts.tsv	rows=9	bc03-mutants.tsv	runner
preseal	file	root	bc04-control-receipts.tsv	rows=8	bc04-mutants.tsv	runner
preseal	file	root	bc05-control-receipts.tsv	rows=12	bc05-mutants.tsv	runner
preseal	file	root	bc06-control-receipts.tsv	rows=8	bc06-mutants.tsv	runner
preseal	file	root	bc07-control-receipts.tsv	rows=9	bc07-mutants.tsv	runner
preseal	file	root	bc08-control-receipts.tsv	rows=16	bc08-mutants.tsv	runner
preseal	file	root	bc09-control-receipts.tsv	rows=18	bc09-mutants.tsv	runner
preseal	file	root	bc10-control-receipts.tsv	rows=12	bc10-mutants.tsv	runner
preseal	file	root	bc11-control-receipts.tsv	rows=11	bc11-mutants.tsv	runner
preseal	file	root	bc12-control-receipts.tsv	rows=14	bc12-mutants.tsv	runner
preseal	file	root	namespace-inventory.tsv	rows=1	lifecycle-observation	adapter
preseal	file	root	run-metadata.tsv	rows=variable	contract-and-closure-bindings	runner
preseal	file	root	runtime-status.tsv	rows=87	sqlite-partial-scenarios.tsv	runner
preseal	registry	scenario-bc01	{scenario_id}/{bc01-runtime-artifacts}	registry-driven	bc01-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc02	{scenario_id}/{bc02-runtime-artifacts}	registry-driven	bc02-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc03	{scenario_id}/{bc03-runtime-artifacts}	registry-driven	bc03-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc04	{scenario_id}/{bc04-runtime-artifacts}	registry-driven	bc04-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc05	{scenario_id}/{bc05-runtime-artifacts}	registry-driven	bc05-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc06	{scenario_id}/{bc06-runtime-artifacts}	registry-driven	bc06-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc07	{scenario_id}/{bc07-runtime-artifacts}	registry-driven	bc07-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc08	{scenario_id}/{bc08-runtime-artifacts}	registry-driven	bc08-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc09	{scenario_id}/{bc09-runtime-artifacts}	registry-driven	bc09-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc10	{scenario_id}/{bc10-runtime-artifacts}	registry-driven	bc10-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc11	{scenario_id}/{bc11-runtime-artifacts}	registry-driven	bc11-runtime-artifacts.tsv	runner
preseal	registry	scenario-bc12	{scenario_id}/{bc12-runtime-artifacts}	registry-driven	bc12-runtime-artifacts.tsv	runner
sealed	file	root	outer-receipt.tsv	rows=2	payload-manifest-sha256	runner
sealed	file	root	payload-manifest.tsv	rows=variable	exact-preseal-payload	runner
sealed	file	root	report.tsv	rows=variable	assertions-plus-bindings	runner
