action-receipts.tsv	15	case-contract	bag	direct-sut-stdout
command-receipts.tsv	12	10	bag	runner-custody
coverage.tsv	6	12	set	runner-contract
exclusions.tsv	6	0	set	present-empty
fault-activation-receipts.tsv	10	fault-case-contract	bag	runner-pre-action-binding
fault-configuration-receipts.tsv	14	fault-case-contract	bag	profile-static-trigger-configuration
fault-inventory-healthy.tsv	6	fault-case-contract	set	adapter-observer
fault-inventory-reopened.tsv	6	fault-case-contract	set	adapter-observer
fault-inventory-rollback.tsv	6	fault-case-contract	set	adapter-observer
fault-inventory-setup.tsv	6	fault-case-contract	set	adapter-observer
fault-markers.tsv	11	fault-case-contract	bag	runner-materialization
fault-trigger-receipts.tsv	21	fault-case-contract	bag	direct-sut-trigger
inventory-after.tsv	6	case-contract	set	adapter-observer
inventory-before.tsv	6	case-contract	set	adapter-observer
inventory-reopened.tsv	6	case-contract	set	adapter-observer
normalized-observations.tsv	6	12	set	runner-normalizer
oracle-result.tsv	6	1	set	runner-oracle
pragma.tsv	6	8	bag	adapter-stderr
raw-observations.tsv	6	12	bag	adapter-and-sut
raw-seal.tsv	9	1	set	runner-custody
