BC02_PARTIAL_RESIDUE	010	setup-operation	sut-setup-bc02	-	same
BC02_PARTIAL_RESIDUE	020	fault-set	set-bc02-root-boundaries	-	same
BC02_PARTIAL_RESIDUE	030	observe-relation	inventory-repository	-	same
BC02_POISONED_RETRY	010	setup-operation	sut-setup-bc02	-	same
BC02_POISONED_RETRY	020	fault-set	set-bc02-root-boundaries	-	same
BC02_POISONED_RETRY	030	action-operation	sut-retry-root	-	same
BC02_POISONED_RETRY	040	observe-relation	inventory-repository	-	same
BC02_ROLLBACK_COMPLETE	010	setup-operation	sut-setup-bc02	-	same
BC02_ROLLBACK_COMPLETE	020	fault-set	set-bc02-root-boundaries	-	same
BC02_ROLLBACK_COMPLETE	030	observe-relation	inventory-repository	-	same
BC08_MID_BOUNDARY_FAILURE	010	setup-operation	sut-setup-bc08	-	same
BC08_MID_BOUNDARY_FAILURE	020	fault-set	set-bc08-effect-boundaries	-	same
BC08_MID_BOUNDARY_FAILURE	030	observe-relation	inventory-repository	-	same
BC09_FAILPOINT_PERSISTS	010	setup-operation	sut-setup-bc09	case-fault	same
BC09_FAILPOINT_PERSISTS	020	fault-hook	hook-bc09-accepted-write	case-fault	same
BC09_FAILPOINT_PERSISTS	030	observe-relation	inventory-repository	case-fault	same
BC09_FAILPOINT_PERSISTS	040	setup-operation	sut-setup-bc09	case-stale	same
BC09_FAILPOINT_PERSISTS	050	fault-hook	hook-bc09-rejection-stale	case-stale	same
BC09_FAILPOINT_PERSISTS	060	observe-relation	inventory-repository	case-stale	same
BC09_FAILPOINT_PERSISTS	070	setup-operation	sut-setup-bc09	case-incomplete	same
BC09_FAILPOINT_PERSISTS	080	fault-hook	hook-bc09-rejection-incomplete	case-incomplete	same
BC09_FAILPOINT_PERSISTS	090	observe-relation	inventory-repository	case-incomplete	same
BC09_FAILPOINT_PERSISTS	100	setup-operation	sut-setup-bc09	case-rejected	same
BC09_FAILPOINT_PERSISTS	110	fault-hook	hook-bc09-rejection-rejected	case-rejected	same
BC09_FAILPOINT_PERSISTS	120	observe-relation	inventory-repository	case-rejected	same
BC09_FAILPOINT_PERSISTS	130	setup-operation	sut-setup-bc09	case-duplicate	same
BC09_FAILPOINT_PERSISTS	140	fault-hook	hook-bc09-rejection-duplicate	case-duplicate	same
BC09_FAILPOINT_PERSISTS	150	observe-relation	inventory-repository	case-duplicate	same
