{run}	{namespace}	BC02_COMPLETE_AVAILABLE	case-bc02-complete	success	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_COMPLETE_AVAILABLE	case-bc02-complete	reopened	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	retry-success	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_HEALTHY_RETRY	case-bc02-incomplete-corrected	reopened	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-missing	reopened	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_INCOMPLETE_AS_COMPLETE	case-bc02-incomplete-substitution	reopened	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_PARTIAL_RESIDUE	case-bc02-after-root-header	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_PARTIAL_RESIDUE	case-bc02-after-root-header	reopened	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_PARTIAL_RESIDUE	case-bc02-after-root-member	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_PARTIAL_RESIDUE	case-bc02-after-root-member	reopened	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_POISONED_RETRY	case-bc02-after-root-header	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_POISONED_RETRY	case-bc02-after-root-header	retry-success	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_POISONED_RETRY	case-bc02-after-root-header	reopened	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_POISONED_RETRY	case-bc02-after-root-member	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_POISONED_RETRY	case-bc02-after-root-member	retry-success	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_POISONED_RETRY	case-bc02-after-root-member	reopened	request-02	root-02	available	3/3	genesis-02
{run}	{namespace}	BC02_ROLLBACK_COMPLETE	case-bc02-after-root-header	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_ROLLBACK_COMPLETE	case-bc02-after-root-header	reopened	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_ROLLBACK_COMPLETE	case-bc02-after-root-member	unavailable	request-02	root-02	root-unavailable	0/3	-
{run}	{namespace}	BC02_ROLLBACK_COMPLETE	case-bc02-after-root-member	reopened	request-02	root-02	root-unavailable	0/3	-
