hook-bc02-after-root-header	BC02	after-root-header	sut-form-root
hook-bc02-after-root-member	BC02	after-root-member	sut-form-root
hook-bc08-after-observation	BC08	after-observation	sut-apply-effect
hook-bc08-after-transition	BC08	after-transition	sut-apply-effect
hook-bc08-after-view-header	BC08	after-view-header	sut-apply-effect
hook-bc08-after-view-row	BC08	after-view-row	sut-apply-effect
hook-bc08-before-current-update	BC08	before-current-update	sut-apply-effect
hook-bc09-accepted-write	BC09	accepted-write	sut-apply-effect
hook-bc09-rejection-duplicate	BC09	rejection-duplicate	sut-apply-effect
hook-bc09-rejection-incomplete	BC09	rejection-incomplete	sut-apply-effect
hook-bc09-rejection-rejected	BC09	rejection-rejected	sut-apply-effect
hook-bc09-rejection-stale	BC09	rejection-stale	sut-apply-effect
