harness-bc09-armed-unreached	fault-harness-mutant	armed-but-not-reached	BC09_FAILPOINT_PERSISTS	BC09_FAULT_TRIGGER_CONTRACT_INVALID	BC09_FAULT_TRIGGER_CONTRACT_INVALID	1	d1be3f4ea2de6ffaa65cd59eb39c32a2f63aec8fcef09cfc5d02c51e2980eaba
harness-bc09-command-custody	evidence-mutant	missing-command-custody	BC09_STALE_PERSISTS	BC09_COMMAND_CUSTODY_INVALID	BC09_COMMAND_CUSTODY_INVALID	1	e9ec492be9e0c103dcf10ec150ec735385fedba935c5fa66fce61900d44285c6
harness-bc09-db-unhealthy	fault-harness-mutant	healthy-retry-unavailable	BC09_FAILPOINT_PERSISTS	BC09_FAULT_INVENTORY_CONTRACT_INVALID	BC09_FAULT_INVENTORY_CONTRACT_INVALID	1	f31fbeba018e3da704b2611e2c5ff61fcde741870d949045983cab98511e99d7
harness-bc09-duplicate-delivery	sut-mutant	missing-duplicate-delivery	BC09_DUPLICATE_PERSISTS	BC09_ACTION_RECEIPT_CONTRACT_INVALID	BC09_ACTION_RECEIPT_CONTRACT_INVALID	1	44b5e59c3d33731331b2f214a4421fbc2b109747c3c3ad5f57a344629af95efd
harness-bc09-noop	harness-mutant	missing-action-receipt	BC09_STALE_PERSISTS	BC09_ACTION_RECEIPT_CONTRACT_INVALID	BC09_ACTION_RECEIPT_CONTRACT_INVALID	1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
harness-bc09-observer-synthesis	observer-mutant	normalized-without-raw	BC09_STALE_PERSISTS	BC09_NORMALIZED_CONTRACT_INVALID	BC09_NORMALIZED_CONTRACT_INVALID	1	91a8f804c80d02c8726c231e422b4da9f31a8d4284dc633fda1b31f4fbc0d8cc
harness-bc09-raw-post-seal-tamper	evidence-mutant	raw-post-seal-tamper	BC09_STALE_PERSISTS	BC09_RAW_SEAL_INVALID	BC09_RAW_SEAL_INVALID	1	719244d04894cbd50853e3d84ee973f19e8fd2ad6e250da1943ec5a650cc0e43
harness-bc09-replayed-marker	fault-harness-mutant	replayed-fault-marker	BC09_FAILPOINT_PERSISTS	BC09_FAULT_MARKER_CONTRACT_INVALID	BC09_FAULT_MARKER_CONTRACT_INVALID	1	7dbe905ef3fde9283f55cf2e8b57515e8558733d0d55d5d072028d9bcb62f2d8
harness-bc09-rollback-drift	fault-harness-mutant	rollback-inventory-drift	BC09_FAILPOINT_PERSISTS	BC09_FAULT_INVENTORY_CONTRACT_INVALID	BC09_FAULT_INVENTORY_CONTRACT_INVALID	1	1ac62c1067d92cd16fb228145a2b86d8d262d76968e790127d07620ca5b7cc4c
harness-bc09-wrong-hook	fault-harness-mutant	wrong-hook	BC09_FAILPOINT_PERSISTS	BC09_FAULT_TRIGGER_CONTRACT_INVALID	BC09_FAULT_TRIGGER_CONTRACT_INVALID	1	ec0ad58c0f14a72f70bce56663bd38676f54c78d651a868d27b287c7095e5210
harness-bc09-wrong-phase	fault-harness-mutant	wrong-phase	BC09_FAILPOINT_PERSISTS	BC09_FAULT_TRIGGER_CONTRACT_INVALID	BC09_FAULT_TRIGGER_CONTRACT_INVALID	1	bacc06946e5212f99645b7bbbcdbfa6f2e43956228b4d46cb160df6262c8ddfd
neg-bc09-diagnostic-ephemeral	sut-mutant	detect-persisted-diagnostic	BC09_DIAGNOSTIC_EPHEMERAL	BC09_DIAGNOSTIC_PERSISTENCE_DETECTED	BC09_DIAGNOSTIC_PERSISTENCE_DETECTED	1	0f599cf20c4983747f13bce33cf9d0c8c82b8c307d31fee38f630336242c0a70
neg-bc09-duplicate-persists	counterfactual	detect-duplicate-attempt-artifact	BC09_DUPLICATE_PERSISTS	BC09_DUPLICATE_ARTIFACT_DETECTED	BC09_DUPLICATE_ARTIFACT_DETECTED	1	8a55b0544158ad57111946dd83da85718e321e65e99aa6d8cb2e04cf14b0688a
neg-bc09-failpoint-persists	fault	detect-failpoint-artifact	BC09_FAILPOINT_PERSISTS	BC09_FAILPOINT_ARTIFACT_DETECTED	BC09_FAILPOINT_ARTIFACT_DETECTED	1	36dd8a6fc9a6158157b58054335d3c73ab293edc62bd9d6e9510fc15b2fe54a1
neg-bc09-failure-no-persistent-artifact	sut-mutant	detect-failure-artifact	BC09_FAILURE_NO_PERSISTENT_ARTIFACT	BC09_PERSISTENT_ARTIFACT_DETECTED	BC09_PERSISTENT_ARTIFACT_DETECTED	1	36c47254d0895b912c1cadd5813e92bcbc183a6326ab97d8fd4d55eb61265059
neg-bc09-incomplete-persists	counterfactual	detect-incomplete-attempt-artifact	BC09_INCOMPLETE_PERSISTS	BC09_INCOMPLETE_ARTIFACT_DETECTED	BC09_INCOMPLETE_ARTIFACT_DETECTED	1	87170cfbbe08b2c9ae516efbe0a9184ae05bbdd221ef6ab78becc5c6b05517a7
neg-bc09-rejected-persists	counterfactual	detect-rejected-attempt-artifact	BC09_REJECTED_PERSISTS	BC09_REJECTED_ARTIFACT_DETECTED	BC09_REJECTED_ARTIFACT_DETECTED	1	74f52d255d48f1aa00854d290a147c645bab1434c0cb307be9afb339256e097f
neg-bc09-stale-persists	counterfactual	detect-stale-attempt-artifact	BC09_STALE_PERSISTS	BC09_STALE_ARTIFACT_DETECTED	BC09_STALE_ARTIFACT_DETECTED	1	713bb843be4d24c25735be68c5ddbd296620532fcd9972538a5523e4611c92e7
